"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","ano_ocu","muni_ocu","grupo_edad_pil","mayor_men","marca_veh","grupo_mod_veh","grupo_hor_ocu","grupo_eda_pil"
4,"Marzo","Jueves",6,"Jalapa","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
10,"Febrero","Miercoles",6,"Guatemala","Urbano",1,"Hombre",1,"Ignorado","Bus extraurbano","Ignorado","1","Colision",2010,NA,NA,NA,NA,NA,NA,NA
8,"Diciembre","Miercoles",6,"Guatemala","Urbano",12,"Hombre",12,"Ignorado","Motocicleta","Azul","12","Colision",2010,NA,NA,NA,NA,NA,NA,NA
14,"Noviembre","Domingo",6,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Cabezal","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
16,"Octubre","Sabado",6,"Guatemala","Rural",99,"Mujer",99,"No Ebrio","Automovil","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
15,"Noviembre","Lunes",6,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Anaranjado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
15,"Julio","Jueves",6,"Chimaltenango","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
18,"Mayo","Martes",6,"Chimaltenango","Rural",99,"Ignorado",99,"Ignorado","Bus urbano","Anaranjado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
24,"Enero","Domingo",6,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
31,"Enero","Domingo",6,"Santa Rosa","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
29,"Mayo","Sabado",6,"Zacapa","Rural",99,"Hombre",99,"No Ebrio","Automovil","Verde","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
11,"Noviembre","Jueves",6,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Pick-up","Negro","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
