<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","estado_pil","grupo_mode_veh"
5222,27,"Octubre","Domingo",23,"Solola","Nahualá","RURAL","Ignorado","Hombre","36","Mayor","Pick up","Corinto","1990-1999","COLISION","Toyota","35-39","IGNORADO","1990-1999"
5223,27,"Octubre","Domingo",17,"Chimaltenango","Chimaltenango","RURAL","Ignorado","Hombre","36","Mayor","Pick up","Celeste","1980-1989","COLISION","Ignorado","35-39","IGNORADO","1980-1989"
5224,27,"Octubre","Domingo",17,"Chimaltenango","Chimaltenango","RURAL","Ignorado","Hombre","45","Mayor","Motocicleta","Rojo","2000-2009","COLISION","Bajaj","45-49","IGNORADO","2000-2009"
5225,27,"Octubre","Domingo",7,"Sacatepéquez","Santiago Sactepéquez","RURAL","Ignorado","Hombre","28","Mayor","Motocicleta","Rojo","2010-2013","COLISION","Ignorado","25-29","EBRIO","2010-2014"
5226,27,"Octubre","Domingo",7,"Sacatepéquez","Santiago Sactepéquez","RURAL","Ignorado","Hombre","30","Mayor","Pick up","Corinto","1980-1989","COLISION","Toyota","30-34","IGNORADO","1980-1989"
5227,28,"Octubre","Lunes",17,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","27","Mayor","Motocicleta","Rojo","2000-2009","COLISION","Bajaj","25-29","IGNORADO","2000-2009"
5228,28,"Octubre","Lunes",17,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","47","Mayor","Motocicleta","Negro","Ignorado","COLISION","Suzuki","45-49","IGNORADO","Ignorado"
5229,28,"Octubre","Lunes",13,"Guatemala","Guatemala","URBANO","12","Hombre","69","Mayor","Panel","Azul","2000-2009","COLISION","Chevrolet","55 y más","IGNORADO","2000-2009"
5230,28,"Octubre","Lunes",13,"Guatemala","Guatemala","URBANO","12","Hombre","40","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Ignorado","40-44","IGNORADO","Ignorado"
5231,28,"Octubre","Lunes",20,"Zacapa","San Diego","RURAL","Ignorado","Hombre","36","Mayor","Pick up","Azul","1990-1999","CHOQUE","Ignorado","35-39","IGNORADO","1990-1999"
5232,28,"Octubre","Lunes",10,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","26","Mayor","Automovil","Blanco","2000-2009","CHOQUE","Toyota","25-29","EBRIO","2000-2009"
5233,28,"Octubre","Lunes",14,"Retalhuleu","Retalhuleu","RURAL","Ignorado","Hombre","40","Mayor","Camión","Verde","Ignorado","CHOQUE","Mercedes benz","40-44","IGNORADO","Ignorado"
5234,28,"Octubre","Lunes",8,"Sacatepéquez","Ciudad Vieja","RURAL","Ignorado","Hombre","21","Mayor","Automovil","Gris","Ignorado","CHOQUE","Mazda","20-24","IGNORADO","Ignorado"
5235,29,"Octubre","Martes",1,"Guatemala","Guatemala","URBANO","10","Hombre","45","Mayor","Camioneta","Blanco","2010-2013","COLISION","Honda","45-49","IGNORADO","2010-2014"
5236,29,"Octubre","Martes",1,"Guatemala","Guatemala","URBANO","10","Hombre","42","Mayor","Automovil","Azul","1990-1999","COLISION","Nissan_duplicated_37","40-44","IGNORADO","1990-1999"
5237,29,"Octubre","Martes",3,"Jutiapa","Asunción Mita","RURAL","Ignorado","Hombre","26","Mayor","Microbus","Azul","2010-2013","CHOQUE","Toyota","25-29","IGNORADO","2010-2014"
5238,29,"Octubre","Martes",19,"Santa Rosa","Santa Rosa de Lima","RURAL","Ignorado","Hombre","28","Mayor","Automovil","Ignorado","2000-2009","COLISION","Toyota","25-29","IGNORADO","2000-2009"
5239,29,"Octubre","Martes",19,"Santa Rosa","Santa Rosa de Lima","RURAL","Ignorado","Hombre","40","Mayor","Camioneta","Blanco","Ignorado","COLISION","Suzuki","40-44","IGNORADO","Ignorado"
5240,29,"Octubre","Martes",18,"Alta Verapaz","Raxruhá","RURAL","Ignorado","Hombre","Ignorado","Mayor","Automovil","Ignorado","Ignorado","VUELCO","Ignorado","Ignorado","IGNORADO","Ignorado"
5241,29,"Octubre","Martes",14,"Quiché","Pachalum","RURAL","Ignorado","Hombre","32","Mayor","Microbus","Gris","2000-2009","COLISION","Kia","30-34","IGNORADO","2000-2009"
5242,29,"Octubre","Martes",14,"Quiché","Pachalum","RURAL","Ignorado","Hombre","19","Mayor","Motocicleta","Blanco","Ignorado","COLISION","Honda","15-19","IGNORADO","Ignorado"
5243,29,"Octubre","Martes",13,"Solola","Santa Catalina Ixtahuacán","RURAL","Ignorado","Hombre","46","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Honda","45-49","IGNORADO","Ignorado"
5244,29,"Octubre","Martes",13,"Solola","Santa Catalina Ixtahuacán","RURAL","Ignorado","Hombre","33","Mayor","Pick up","Celeste","Ignorado","COLISION","Toyota","30-34","IGNORADO","Ignorado"
5245,30,"Octubre","Miercoles",0,"Guatemala","Guatemala","URBANO","1","Hombre","47","Mayor","Camioneta","Negro","Ignorado","COLISION","Dodge_duplicated_11","45-49","EBRIO","Ignorado"
5246,30,"Octubre","Miercoles",0,"Guatemala","Guatemala","URBANO","1","Hombre","25","Mayor","Automovil","Gris","Ignorado","COLISION","Nissan_duplicated_37","25-29","NORMAL","Ignorado"
5247,30,"Octubre","Miercoles",6,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","37","Mayor","Cabezal","Verde","Ignorado","VUELCO","Ignorado","35-39","IGNORADO","Ignorado"
5248,30,"Octubre","Miercoles",14,"Guatemala","Guatemala","URBANO","1","Hombre","34","Mayor","Automovil","Verde","2000-2009","COLISION","Mazda","30-34","IGNORADO","2000-2009"
5249,30,"Octubre","Miercoles",14,"Guatemala","Guatemala","URBANO","1","Hombre","61","Mayor","Automovil","Gris","2000-2009","COLISION","Volkwagen","55 y más","IGNORADO","2000-2009"
5250,30,"Octubre","Miercoles",11,"Guatemala","Guatemala","URBANO","7","Hombre","56","Mayor","Camión","Verde","1990-1999","COLISION","Ignorado","55 y más","IGNORADO","1990-1999"
5251,30,"Octubre","Miercoles",11,"Guatemala","Guatemala","URBANO","7","Hombre","22","Mayor","Motocicleta","Gris","2000-2009","COLISION","Suzuki","20-24","IGNORADO","2000-2009"
5252,30,"Octubre","Miercoles",22,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","22","Mayor","Automovil","Gris","2000-2009","COLISION","Volkwagen","20-24","IGNORADO","2000-2009"
5253,30,"Octubre","Miercoles",22,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","Ignorado","Mayor","Automovil","Ignorado","2000-2009","COLISION","Volkwagen","Ignorado","IGNORADO","2000-2009"
5254,30,"Octubre","Miercoles",21,"Chiquimula","Camotán","RURAL","Ignorado","Hombre","28","Mayor","Motocicleta","Ignorado","Ignorado","CAIDA","Ignorado","25-29","IGNORADO","Ignorado"
5255,30,"Octubre","Miercoles",15,"San Marcos","Comitancillo","RURAL","Ignorado","Hombre","28","Mayor","Motocicleta","Rojo","Ignorado","CHOQUE","Suzuki","25-29","IGNORADO","Ignorado"
5256,30,"Octubre","Miercoles",17,"Huehuetenango","Huehuetenango","RURAL","Ignorado","Hombre","21","Mayor","Pick up","Negro","Ignorado","COLISION","Ignorado","20-24","IGNORADO","Ignorado"
5257,30,"Octubre","Miercoles",17,"Huehuetenango","Huehuetenango","RURAL","Ignorado","Hombre","21","Mayor","Motocicleta","Rojo","2000-2009","COLISION","Ignorado","20-24","IGNORADO","2000-2009"
5258,30,"Octubre","Miercoles",11,"Solola","Panajachel","RURAL","Ignorado","Hombre","33","Mayor","Automovil","Gris","Ignorado","CHOQUE","Toyota","30-34","IGNORADO","Ignorado"
5259,31,"Octubre","Jueves",11,"Guatemala","Guatemala","URBANO","9","Mujer","38","Mayor","Automovil","Gris","Ignorado","COLISION","Mazda","35-39","NORMAL","Ignorado"
5260,31,"Octubre","Jueves",11,"Guatemala","Guatemala","URBANO","9","Hombre","51","Mayor","Motocicleta","Gris","2000-2009","COLISION","Ignorado","50-54","NORMAL","2000-2009"
5261,31,"Octubre","Jueves",20,"Guatemala","Guatemala","URBANO","4","Hombre","48","Mayor","Motocicleta","Blanco","2000-2009","COLISION","Bajaj","45-49","IGNORADO","2000-2009"
5262,31,"Octubre","Jueves",20,"Guatemala","Guatemala","URBANO","4","Hombre","56","Mayor","Motocicleta","Negro","2010-2013","COLISION","Italika","55 y más","IGNORADO","2010-2014"
5263,31,"Octubre","Jueves",23,"Guatemala","Guatemala","URBANO","5","Hombre","52","Mayor","Camión","Blanco","2014","COLISION","Hino","50-54","IGNORADO","2010-2014"
5264,31,"Octubre","Jueves",23,"Guatemala","Guatemala","URBANO","5","Hombre","32","Mayor","Automovil","Blanco","2014","COLISION","Hyundai","30-34","IGNORADO","2010-2014"
5265,31,"Octubre","Jueves",18,"Suchitepéquez","Cuyotenango","RURAL","Ignorado","Hombre","23","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","20-24","IGNORADO","Ignorado"
5266,31,"Octubre","Jueves",18,"Suchitepéquez","Cuyotenango","RURAL","Ignorado","Hombre","17","Menor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","15-19","IGNORADO","Ignorado"
5267,31,"Octubre","Jueves",17,"Petén","San Benito","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","20-24","IGNORADO","Ignorado"
5268,31,"Octubre","Jueves",18,"San Marcos","Ixchiguán","RURAL","Ignorado","Hombre","35","Mayor","Pick up","Ignorado","Ignorado","VUELCO","Ignorado","35-39","IGNORADO","Ignorado"
5269,31,"Octubre","Jueves",14,"Sacatepéquez","San Lucas Sacatepéquez","RURAL","Ignorado","Hombre","58","Mayor","Pick up","Blanco","1990-1999","COLISION","Mazda","55 y más","IGNORADO","1990-1999"
5270,31,"Octubre","Jueves",14,"Sacatepéquez","San Lucas Sacatepéquez","RURAL","Ignorado","Hombre","38","Mayor","Motocicleta","Rojo","2010-2013","COLISION","Honda","35-39","IGNORADO","2010-2014"
5271,1,"Noviembre","Viernes",1,"Guatemala","Guatemala","URBANO","3","Hombre","30","Mayor","Jeep","Rojo","1980-1989","COLISION","Isuzu","30-34","IGNORADO","1980-1989"
5272,1,"Noviembre","Viernes",1,"Guatemala","Guatemala","URBANO","3","Mujer","23","Mayor","Automovil","Gris","1980-1989","COLISION","Toyota","20-24","IGNORADO","1980-1989"
5273,1,"Noviembre","Viernes",5,"Guatemala","Guatemala","URBANO","2","Hombre","40","Mayor","Camión","Blanco","2010-2013","COLISION","Hino","40-44","IGNORADO","2010-2014"
5274,1,"Noviembre","Viernes",5,"Guatemala","Guatemala","URBANO","2","Hombre","32","Mayor","Motocicleta","Negro","Ignorado","COLISION","Ignorado","30-34","IGNORADO","Ignorado"
5275,1,"Noviembre","Viernes",5,"Guatemala","Guatemala","URBANO","5","Hombre","45","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Italika","45-49","IGNORADO","Ignorado"
5276,1,"Noviembre","Viernes",5,"Guatemala","Guatemala","URBANO","5","Mujer","39","Mayor","Automovil","Gris","2000-2009","COLISION","Toyota","35-39","IGNORADO","2000-2009"
5277,1,"Noviembre","Viernes",3,"Guatemala","Petapa","RURAL","Ignorado","Hombre","26","Mayor","Automovil","Negro","Ignorado","CHOQUE","Ignorado","25-29","IGNORADO","Ignorado"
5278,1,"Noviembre","Viernes",19,"Guatemala","Guatemala","URBANO","7","Hombre","42","Mayor","Automovil","Celeste","1990-1999","COLISION","Toyota","40-44","IGNORADO","1990-1999"
5279,1,"Noviembre","Viernes",19,"Guatemala","Guatemala","URBANO","7","Hombre","42","Mayor","Motocicleta","Negro","2010-2013","COLISION","Bajaj","40-44","IGNORADO","2010-2014"
5280,1,"Noviembre","Viernes",0,"Solola","Panajachel","URBANO","Ignorado","Hombre","34","Mayor","Camioneta","Verde","1990-1999","CHOQUE","Ford","30-34","IGNORADO","1990-1999"
5281,1,"Noviembre","Viernes",11,"Chiquimula","San José La Arada","RURAL","Ignorado","Hombre","Ignorado","Mayor","Motocicleta","Gris","Ignorado","CHOQUE","Honda","Ignorado","IGNORADO","Ignorado"
5282,1,"Noviembre","Viernes",11,"Jalapa","Monjas","RURAL","Ignorado","Hombre","32","Mayor","Automovil","Verde","1990-1999","COLISION","Toyota","30-34","IGNORADO","1990-1999"
5283,1,"Noviembre","Viernes",11,"Jalapa","Monjas","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Negro","2010-2013","COLISION","Italika","20-24","IGNORADO","2010-2014"
5284,1,"Noviembre","Viernes",16,"San Marcos","Malacatán","RURAL","Ignorado","Hombre","19","Mayor","Pick up","Rojo","1980-1989","COLISION","Toyota","15-19","EBRIO","1980-1989"
5285,1,"Noviembre","Viernes",16,"San Marcos","Malacatán","RURAL","Ignorado","Hombre","21","Mayor","Mototaxi","Rojo","2010-2013","COLISION","Bajaj","20-24","NORMAL","2010-2014"
5286,1,"Noviembre","Viernes",22,"Alta Verapaz","Cobán","RURAL","Ignorado","Hombre","22","Mayor","Automovil","Ignorado","Ignorado","CHOQUE","Ignorado","20-24","IGNORADO","Ignorado"
5287,1,"Noviembre","Viernes",18,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","28","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Italika","25-29","EBRIO","Ignorado"
5288,1,"Noviembre","Viernes",18,"Guatemala","Villa Nueva","RURAL","Ignorado","Ignorado","Ignorado","Mayor","Automovil","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
5289,1,"Noviembre","Viernes",0,"Izabal","El Estor","RURAL","Ignorado","Hombre","21","Mayor","Motocicleta","Ignorado","Ignorado","CAIDA","Ignorado","20-24","IGNORADO","Ignorado"
5290,1,"Noviembre","Viernes",0,"Jutiapa","Jutiapa","URBANO","1","Hombre","19","Mayor","Motocicleta","Rojo","Ignorado","CHOQUE","Honda","15-19","EBRIO","Ignorado"
5291,1,"Noviembre","Viernes",14,"Jutiapa","Jalpatagua","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Azul","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
5292,1,"Noviembre","Viernes",14,"Jutiapa","Jalpatagua","RURAL","Ignorado","Hombre","50","Mayor","Automovil","Azul","2000-2009","COLISION","Volkwagen","50-54","NORMAL","2000-2009"
5293,1,"Noviembre","Viernes",17,"Jutiapa","Jutiapa","RURAL","Ignorado","Hombre","46","Mayor","Automovil","Ignorado","1990-1999","COLISION","Toyota","45-49","EBRIO","1990-1999"
5294,1,"Noviembre","Viernes",17,"Jutiapa","Jutiapa","RURAL","Ignorado","Mujer","22","Mayor","Pick up","Amarillo","2000-2009","COLISION","Sniper","20-24","NORMAL","2000-2009"
5295,1,"Noviembre","Viernes",23,"Suchitepéquez","Mazatenango","URBANO","1","Hombre","38","Mayor","Motocicleta","Negro","2010-2013","COLISION","Freedom","35-39","NORMAL","2010-2014"
5296,1,"Noviembre","Viernes",23,"Suchitepéquez","Mazatenango","URBANO","1","Hombre","42","Mayor","Mototaxi","Rojo","2010-2013","COLISION","Tvs","40-44","EBRIO","2010-2014"
5297,1,"Noviembre","Viernes",0,"Suchitepéquez","San Lorenzo","RURAL","Ignorado","Hombre","Ignorado","Mayor","Bus urbano","Amarillo","1990-1999","COLISION","International","Ignorado","IGNORADO","1990-1999"
5298,1,"Noviembre","Viernes",0,"Suchitepéquez","San Lorenzo","RURAL","Ignorado","Hombre","26","Mayor","Motocicleta","Negro","Ignorado","COLISION","Honda","25-29","IGNORADO","Ignorado"
5299,1,"Noviembre","Viernes",19,"Suchitepéquez","San Juan Bautista","RURAL","Ignorado","Hombre","42","Mayor","Camioneta","Negro","Ignorado","COLISION","Kia","40-44","IGNORADO","Ignorado"
5300,1,"Noviembre","Viernes",19,"Suchitepéquez","San Juan Bautista","RURAL","Ignorado","Hombre","Ignorado","Mayor","Bus extraurbano","Rojo","1990-1999","COLISION","International","Ignorado","IGNORADO","1990-1999"
5301,1,"Noviembre","Viernes",20,"Sacatepéquez","Santa Lucia Milpas Altas","RURAL","Ignorado","Hombre","49","Mayor","Automovil","Rojo","2000-2009","COLISION","Mitsubishi","45-49","IGNORADO","2000-2009"
5302,1,"Noviembre","Viernes",20,"Sacatepéquez","Santa Lucia Milpas Altas","RURAL","Ignorado","Hombre","29","Mayor","Motocicleta","Corinto","2010-2013","COLISION","Honda","25-29","IGNORADO","2010-2014"
5303,1,"Noviembre","Viernes",19,"Guatemala","Mixco","URBANO","4","Hombre","Ignorado","Mayor","Bus extraurbano","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
5304,1,"Noviembre","Viernes",19,"Guatemala","Mixco","URBANO","4","Hombre","21","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Ignorado","20-24","IGNORADO","Ignorado"
5305,1,"Noviembre","Viernes",16,"Guatemala","Mixco","URBANO","8","Hombre","19","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Suzuki","15-19","IGNORADO","Ignorado"
5306,1,"Noviembre","Viernes",16,"Guatemala","Mixco","URBANO","8","Hombre","Ignorado","Mayor","Automovil","Verde","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
5307,2,"Noviembre","Sabado",2,"Guatemala","Guatemala","URBANO","6","Hombre","40","Mayor","Camioneta","Negro","2010-2013","COLISION","Mitsubishi","40-44","EBRIO","2010-2014"
5308,2,"Noviembre","Sabado",2,"Guatemala","Guatemala","URBANO","6","Hombre","33","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Italika","30-34","IGNORADO","Ignorado"
5309,2,"Noviembre","Sabado",15,"Guatemala","Guatemala","URBANO","11","Hombre","53","Mayor","Automovil","Blanco","1990-1999","COLISION","Nissan_duplicated_37","50-54","EBRIO","1990-1999"
5310,2,"Noviembre","Sabado",15,"Guatemala","Guatemala","URBANO","11","Hombre","Ignorado","Mayor","Automovil","Negro","1990-1999","COLISION","Toyota","Ignorado","NORMAL","1990-1999"
5311,2,"Noviembre","Sabado",23,"Guatemala","Santa Catarina Pinula","URBANO","Ignorado","Hombre","25","Mayor","Pick up","Rojo","1990-1999","COLISION","Toyota","25-29","EBRIO","1990-1999"
5312,2,"Noviembre","Sabado",23,"Guatemala","Santa Catarina Pinula","URBANO","Ignorado","Hombre","33","Mayor","Bus urbano","Rojo","1990-1999","COLISION","Blue bird","30-34","IGNORADO","1990-1999"
5313,2,"Noviembre","Sabado",23,"Jalapa","San Manuel Chaparrón","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Negro","Ignorado","CHOQUE","Italika","20-24","NORMAL","Ignorado"
5314,2,"Noviembre","Sabado",0,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","42","Mayor","Cabezal","Blanco","1990-1999","COLISION","Freightliner","40-44","NORMAL","1990-1999"
5315,2,"Noviembre","Sabado",0,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","35","Mayor","Cabezal","Blanco","Ignorado","COLISION","Freightliner","35-39","NORMAL","Ignorado"
5316,2,"Noviembre","Sabado",7,"Escuintla","Palín","RURAL","Ignorado","Hombre","49","Mayor","Automovil","Rojo","Ignorado","VUELCO","Toyota","45-49","IGNORADO","Ignorado"
5317,2,"Noviembre","Sabado",19,"Suchitepéquez","San Juan Bautista","RURAL","Ignorado","Hombre","25","Mayor","Automovil","Beige","Ignorado","COLISION","Mazda","25-29","IGNORADO","Ignorado"
5318,2,"Noviembre","Sabado",19,"Suchitepéquez","San Juan Bautista","RURAL","Ignorado","Hombre","26","Mayor","Panel","Blanco","Ignorado","COLISION","Toyota","25-29","IGNORADO","Ignorado"
5319,2,"Noviembre","Sabado",8,"Alta Verapaz","San Pedro Carchá","RURAL","Ignorado","Hombre","28","Mayor","Automovil","Gris","Ignorado","COLISION","Mazda","25-29","EBRIO","Ignorado"
5320,2,"Noviembre","Sabado",8,"Alta Verapaz","San Pedro Carchá","RURAL","Ignorado","Mujer","43","Mayor","Automovil","Anaranjado","Ignorado","COLISION","Mazda","40-44","NORMAL","Ignorado"
5321,2,"Noviembre","Sabado",23,"Guatemala","Guatemala","URBANO","11","Hombre","52","Mayor","Automovil","Rojo","Ignorado","CHOQUE","Toyota","50-54","IGNORADO","Ignorado"
5322,2,"Noviembre","Sabado",20,"Chiquimula","Chiquimula","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Negro","Ignorado","CHOQUE","Suzuki","20-24","IGNORADO","Ignorado"
5323,2,"Noviembre","Sabado",19,"Solola","Panajachel","RURAL","Ignorado","Hombre","39","Mayor","Automovil","Azul","1990-1999","COLISION","Nissan_duplicated_37","35-39","EBRIO","1990-1999"
5324,2,"Noviembre","Sabado",19,"Solola","Panajachel","RURAL","Ignorado","Hombre","24","Mayor","Automovil","Gris","2000-2009","COLISION","Toyota","20-24","IGNORADO","2000-2009"
5325,2,"Noviembre","Sabado",14,"Chimaltenango","El Tejar","RURAL","Ignorado","Hombre","27","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","25-29","IGNORADO","Ignorado"
5326,2,"Noviembre","Sabado",14,"Chimaltenango","El Tejar","RURAL","Ignorado","Hombre","Ignorado","Mayor","Automovil","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
5327,3,"Noviembre","Domingo",0,"Guatemala","Guatemala","URBANO","13","Hombre","45","Mayor","Automovil","Negro","2000-2009","COLISION","Kia","45-49","NORMAL","2000-2009"
5328,3,"Noviembre","Domingo",0,"Guatemala","Guatemala","URBANO","13","Hombre","41","Mayor","Automovil","Corinto","1990-1999","COLISION","Dodge_duplicated_11","40-44","NORMAL","1990-1999"
5329,3,"Noviembre","Domingo",0,"Guatemala","Guatemala","URBANO","13","Ignorado","Ignorado","Mayor","Camioneta","Corinto","Ignorado","COLISION","Chevrolet","Ignorado","IGNORADO","Ignorado"
5330,3,"Noviembre","Domingo",5,"Guatemala","Mixco","URBANO","11","Ignorado","26","Mayor","Automovil","Corinto","2000-2009","COLISION","Toyota","25-29","EBRIO","2000-2009"
5331,3,"Noviembre","Domingo",5,"Guatemala","Mixco","URBANO","11","Ignorado","Ignorado","Mayor","Bus extraurbano","Rojo","Ignorado","COLISION","Ford","Ignorado","NORMAL","Ignorado"
5332,3,"Noviembre","Domingo",9,"Guatemala","Guatemala","URBANO","1","Mujer","34","Mayor","Automovil","Gris","2000-2009","COLISION","Ignorado","30-34","NORMAL","2000-2009"
5333,3,"Noviembre","Domingo",9,"Guatemala","Guatemala","URBANO","1","Hombre","33","Mayor","Motocicleta","Negro","Ignorado","COLISION","Freedom","30-34","NORMAL","Ignorado"
5334,3,"Noviembre","Domingo",11,"Guatemala","Guatemala","URBANO","11","Hombre","25","Mayor","Automovil","Rojo","Ignorado","CHOQUE","Toyota","25-29","NORMAL","Ignorado"
5335,3,"Noviembre","Domingo",9,"Guatemala","Mixco","URBANO","4","Hombre","20","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","20-24","EBRIO","Ignorado"
5336,3,"Noviembre","Domingo",19,"Guatemala","San Pedro Sacatepéquez","RURAL","Ignorado","Hombre","47","Mayor","Bus urbano","Café","Ignorado","COLISION","International","45-49","IGNORADO","Ignorado"
5337,3,"Noviembre","Domingo",19,"Guatemala","San Pedro Sacatepéquez","RURAL","Ignorado","Hombre","19","Mayor","Motocicleta","Azul","Ignorado","COLISION","International","15-19","IGNORADO","Ignorado"
5338,3,"Noviembre","Domingo",14,"Jutiapa","Santa Catarina Mita","RURAL","Ignorado","Hombre","23","Mayor","Automovil","Blanco","2000-2009","COLISION","Honda","20-24","NORMAL","2000-2009"
5339,3,"Noviembre","Domingo",14,"Jutiapa","Santa Catarina Mita","RURAL","Ignorado","Mujer","20","Mayor","Camioneta","Negro","Ignorado","COLISION","Isuzu","20-24","IGNORADO","Ignorado"
5340,3,"Noviembre","Domingo",2,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","30","Mayor","Cabezal","Ignorado","Ignorado","COLISION","Ignorado","30-34","IGNORADO","Ignorado"
5341,3,"Noviembre","Domingo",2,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Suzuki","20-24","IGNORADO","Ignorado"
5342,3,"Noviembre","Domingo",6,"Escuintla","Palín","RURAL","Ignorado","Hombre","24","Mayor","Automovil","Ignorado","2000-2009","CHOQUE","Volkwagen","20-24","IGNORADO","2000-2009"
5343,3,"Noviembre","Domingo",12,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","40","Mayor","Bus extraurbano","Rojo","Ignorado","COLISION","Blue bird","40-44","IGNORADO","Ignorado"
5344,3,"Noviembre","Domingo",12,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","40","Mayor","Ignorado","Beige","Ignorado","COLISION","Hyundai","40-44","IGNORADO","Ignorado"
5345,3,"Noviembre","Domingo",14,"Escuintla","Santa Lucía Cotzumalguapa","RURAL","Ignorado","Hombre","44","Mayor","Bus extraurbano","Rojo","1990-1999","COLISION","Ignorado","40-44","IGNORADO","1990-1999"
5346,3,"Noviembre","Domingo",14,"Escuintla","Santa Lucía Cotzumalguapa","RURAL","Ignorado","Hombre","19","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","15-19","IGNORADO","Ignorado"
5347,3,"Noviembre","Domingo",15,"Suchitepéquez","Chicacao","RURAL","Ignorado","Hombre","Ignorado","Mayor","Bus extraurbano","Rojo","Ignorado","VUELCO","Ignorado","Ignorado","IGNORADO","Ignorado"
5348,3,"Noviembre","Domingo",16,"Retalhuleu","El Asintal","RURAL","Ignorado","Hombre","24","Mayor","Microbus","Gris","2000-2009","VUELCO","Toyota","20-24","IGNORADO","2000-2009"
5349,3,"Noviembre","Domingo",7,"Quetzaltenango","Coatepeque","RURAL","Ignorado","Hombre","38","Mayor","Motocicleta","Negro","Ignorado","COLISION","Bajaj","35-39","IGNORADO","Ignorado"
5350,3,"Noviembre","Domingo",7,"Quetzaltenango","Coatepeque","RURAL","Ignorado","Mujer","36","Mayor","Automovil","Verde","Ignorado","COLISION","Toyota","35-39","IGNORADO","Ignorado"
5351,3,"Noviembre","Domingo",0,"Baja Verapaz","Salamá","RURAL","Ignorado","Hombre","38","Mayor","Pick up","Verde","1990-1999","COLISION","Toyota","35-39","IGNORADO","1990-1999"
5352,3,"Noviembre","Domingo",0,"Baja Verapaz","Salamá","RURAL","Ignorado","Hombre","34","Mayor","Motocicleta","Gris","2000-2009","COLISION","Honda","30-34","IGNORADO","2000-2009"
5353,3,"Noviembre","Domingo",23,"Izabal","Morales","RURAL","Ignorado","Hombre","45","Mayor","Camión","Rojo","Ignorado","COLISION","Ignorado","45-49","NORMAL","Ignorado"
5354,3,"Noviembre","Domingo",23,"Izabal","Morales","RURAL","Ignorado","Hombre","65","Mayor","Camión","Blanco","1980-1989","COLISION","Hino","55 y más","NORMAL","1980-1989"
5355,3,"Noviembre","Domingo",2,"Petén","La Libertad_duplicated_1705","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","20-24","NORMAL","Ignorado"
5356,3,"Noviembre","Domingo",0,"Petén","Poptún","RURAL","Ignorado","Mujer","22","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","20-24","NORMAL","Ignorado"
5357,3,"Noviembre","Domingo",22,"Solola","Panajachel","RURAL","Ignorado","Hombre","29","Mayor","Motocicleta","Negro","Ignorado","COLISION","Suzuki","25-29","EBRIO","Ignorado"
